team_two,match_number,start_time,team_one
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wMQw,2012-04-04 20:00:00,team_chennai
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wMgw,2012-04-05 20:00:00,team_kolkata
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wMww,2012-04-06 16:00:00,team_mumbai
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNAw,2012-04-06 20:00:00,team_rajasthan
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNQw,2012-04-07 16:00:00,team_bangalore
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNgw,2012-04-07 20:00:00,team_hyderabad
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wNww,2012-04-08 16:00:00,team_rajasthan
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wOAw,2012-04-08 20:00:00,team_pune
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8wOQw,2012-04-09 20:00:00,team_hyderabad
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMAw,2012-04-10 16:00:00,team_bangalore
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMQw,2012-04-10 20:00:00,team_delhi
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMgw,2012-04-11 20:00:00,team_mumbai
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xMww,2012-04-12 16:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNAw,2012-04-12 20:00:00,team_punjab
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNQw,2012-04-13 20:00:00,team_kolkata
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNgw,2012-04-14 20:00:00,team_pune
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xNww,2012-04-15 16:00:00,team_kolkata
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xOAw,2012-04-15 20:00:00,team_bangalore
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8xOQw,2012-04-16 20:00:00,team_mumbai
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMAw,2012-04-17 16:00:00,team_rajasthan
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMQw,2012-04-17 20:00:00,team_bangalore
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMgw,2012-04-18 20:00:00,team_punjab
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yMww,2012-04-19 16:00:00,team_delhi
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNAw,2012-04-19 20:00:00,team_chennai
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNQw,2012-04-20 20:00:00,team_punjab
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNgw,2012-04-21 16:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yNww,2012-04-21 20:00:00,team_delhi
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yOAw,2012-04-22 16:00:00,team_mumbai
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8yOQw,2012-04-22 20:00:00,team_hyderabad
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMAw,2012-04-23 20:00:00,team_rajasthan
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMQw,2012-04-24 16:00:00,team_pune
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMgw,2012-04-24 20:00:00,team_kolkata
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zMww,2012-04-25 16:00:00,team_punjab
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zNAw,2012-04-25 20:00:00,team_bangalore
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zNQw,2012-04-26 20:00:00,team_pune
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zNgw,2012-04-27 20:00:00,team_delhi
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zNww,2012-04-28 16:00:00,team_chennai
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zOAw,2012-04-28 20:00:00,team_kolkata
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF8zOQw,2012-04-29 16:00:00,team_delhi
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80MAw,2012-04-29 20:00:00,team_mumbai
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80MQw,2012-04-30 20:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80Mgw,2012-05-01 16:00:00,team_hyderabad
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80Mww,2012-05-01 20:00:00,team_rajasthan
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80NAw,2012-05-02 20:00:00,team_bangalore
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80NQw,2012-05-03 16:00:00,team_pune
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80Ngw,2012-05-04 20:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80Nww,2012-05-05 16:00:00,team_kolkata
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80OAw,2012-05-05 20:00:00,team_punjab
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF80OQw,2012-05-06 16:00:00,team_mumbai
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81MAw,2012-05-06 20:00:00,team_bangalore
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81MQw,2012-05-07 20:00:00,team_delhi
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81Mgw,2012-05-08 16:00:00,team_pune
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81Mww,2012-05-08 20:00:00,team_hyderabad
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81NAw,2012-05-09 20:00:00,team_mumbai
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81NQw,2012-05-10 16:00:00,team_hyderabad
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81Ngw,2012-05-10 20:00:00,team_rajasthan
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81Nww,2012-05-11 20:00:00,team_pune
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81OAw,2012-05-12 16:00:00,team_kolkata
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF81OQw,2012-05-12 20:00:00,team_chennai
team_pune,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82MAw,2012-05-13 16:00:00,team_rajasthan
team_hyderabad,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82MQw,2012-05-13 20:00:00,team_punjab
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82Mgw,2012-05-14 16:00:00,team_bangalore
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82Mww,2012-05-14 20:00:00,team_kolkata
team_punjab,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82NAw,2012-05-15 20:00:00,team_delhi
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82NQw,2012-05-16 20:00:00,team_mumbai
team_chennai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82Ngw,2012-05-17 16:00:00,team_punjab
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82Nww,2012-05-17 20:00:00,team_delhi
team_rajasthan,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82OAw,2012-05-18 20:00:00,team_hyderabad
team_delhi,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF82OQw,2012-05-19 16:00:00,team_punjab
team_kolkata,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF83MAw,2012-05-19 20:00:00,team_pune
team_bangalore,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF83MQw,2012-05-20 16:00:00,team_hyderabad
team_mumbai,aglzfmNwLWxpdmVyEwsSBU1hdGNoIghtYXRjaF83Mgw,2012-05-20 20:00:00,team_rajasthan
