"PLAYER NAME";"PLAYING ROLE";"TEAM"
"Sourav Ganguly";"Top-order batsman";"Pune"
"Eklavya Diwedi";"Wicketkeeper";"Pune"
"Michael Clarke";"Middle-order batsman";"Pune"
"Ashok Dinda";"Bowler";"Pune"
"Callum Ferguson";"Middle-order batsman";"Pune"
"Raiphi Gomez";"Allrounder";"Pune"
"Harpreet Singh";"Batsman";"Pune"
"James Hopes";"Allrounder";"Pune"
"Dheeraj Jadhav";"Batsman";"Pune"
"Kamran Khan";"Bowler";"Pune"
"Murali Kartik";"Bowler";"Pune"
"Harshad Khadiwale";"Opening batsman";"Pune"
"Bhuvneshwar Kumar";"Bowler";"Pune"
"Nathan McCullum";"Bowler";"Pune"
"Anustup Majumdar";"Batsman";"Pune"
"Mithun Manhas";"Allrounder";"Pune"
"Angelo Mathews";"Allrounder";"Pune"
"Mohnish  Mishra";"Batsman";"Pune"
"Ali Murtaza";"Bowler";"Pune"
"Ashish Nehra";"Bowler";"Pune"
"Manish Pandey";"Top-order batsman";"Pune"
"Wayne Parnell";"Bowler";"Pune"
"Sachin Rana";"Bowler";"Pune"
"Jesse Ryder";"Allrounder";"Pune"
"Marlon Samuels";"Batsman";"Pune"
"Rahul Sharma";"Bowler";"Pune"
"Graeme Smith";"Opening batsman";"Pune"
"Steven Smith";"Allrounder";"Pune"
"Alfonso Thomas";"Bowler";"Pune"
"Krishnakant  Upadhyay";"Bowler";"Pune"
"Robin Uthappa";"Batsman";"Pune"
"Shrikant Wagh";"Allrounder";"Pune"
"Luke Wright";"Allrounder";"Pune"
"Yuvraj Singh";"Middle-order batsman";"Pune"
"Mitchell Marsh";"Top-order batsman";"Pune"
"Virender Sehwag";"Top-order batsman";"Delhi"
"Manprit Juneja";"Batsman";"Delhi"
"Varun Aaron";"Bowler";"Delhi"
"Ajit Agarkar";"Bowler";"Delhi"
"Puneet Bisht";"Batsman";"Delhi"
"Robin Bist";"Middle-order batsman";"Delhi"
"Gulam Bodi";"Batsman";"Delhi"
"Doug Bracewell";"Bowler";"Delhi"
"Unmukt Chand";"Top-order batsman";"Delhi"
"Aaron Finch";"Top-order batsman";"Delhi"
"Mahela Jayawardene";"Batsman";"Delhi"
"Glenn Maxwell";"Allrounder";"Delhi"
"Morne Morkel";"Bowler";"Delhi"
"Shahbaz Nadeem";"Bowler";"Delhi"
"Yogesh Nagar";"Allrounder";"Delhi"
"Prashant Naik";"Middle-order batsman";"Delhi"
"Pawan Negi";"Allrounder";"Delhi"
"Naman Ojha";"Wicketkeeper batsman";"Delhi"
"Irfan Pathan";"Allrounder";"Delhi"
"Kevin Pietersen";"Top-order batsman";"Delhi"
"Kuldeep Raval";"Batsman";"Delhi"
"Andre Russell";"Allrounder";"Delhi"
"Aavishkar Salvi";"Bowler";"Delhi"
"Ross Taylor";"Middle-order batsman";"Delhi"
"Roelof van der Merwe";"Allrounder";"Delhi"
"Venugopal Rao";"Middle-order batsman";"Delhi"
"Vikas Mishra";"Bowler";"Delhi"
"David Warner";"Opening batsman";"Delhi"
"Tejashwi Yadav";"Middle-order batsman";"Delhi"
"Umesh Yadav";"Bowler";"Delhi"
"Travis Birt";"Middle-order batsman";"Delhi"
"Colin Ingram";"Top-order batsman";"Delhi"
"Adam Gilchrist";"Wicketkeeper batsman";"Punjab"
"Parvinder Awana";"Bowler";"Punjab"
"Love Ablish";"Bowler";"Punjab"
"Amit Yadav";"Allrounder";"Punjab"
"Azhar Mahmood";"Allrounder";"Punjab"
"Bhargav Bhatt";"Bowler";"Punjab"
"Bipul Sharma";"Allrounder";"Punjab"
"Stuart Broad";"Bowler";"Punjab"
"Piyush Chawla";"Allrounder";"Punjab"
"Siddharth Chitnis";"Batsman";"Punjab"
"Paras Dogra";"Batsman";"Punjab"
"James Faulkner";"Allrounder";"Punjab"
"Harmeet Singh";"Bowler";"Punjab"
"Ryan Harris";"Bowler";"Punjab"
"David Hussey";"Allrounder";"Punjab"
"Praveen Kumar";"Bowler";"Punjab"
"Vikramjeet Malik";"Bowler";"Punjab"
"Mandeep Singh";"Allrounder";"Punjab"
"Shaun Marsh";"Top-order batsman";"Punjab"
"Dimitri Mascarenhas";"Allrounder";"Punjab"
"David Miller";"Middle-order batsman";"Punjab"
"Abhishek Nayar";"Allrounder";"Punjab"
"Ramesh Powar";"Bowler";"Punjab"
"Nathan Rimmington";"Bowler";"Punjab"
"Nitin Saini";"Batsman";"Punjab"
"Rajagopal Sathish";"Allrounder";"Punjab"
"Shalabh Srivastava";"Bowler";"Punjab"
"Sunny Singh";"Batsman";"Punjab"
"Paul Valthaty";"Batsman";"Punjab"
"Gautam Gambhir";"Top-order batsman";"Kolkata"
"Sarabjit Ladda";"Bowler";"Kolkata"
"Lakshmipathy Balaji";"Bowler";"Kolkata"
"Rajat Bhatia";"Allrounder";"Kolkata"
"Manvinder  Bisla";"Wicketkeeper";"Kolkata"
"Debabrata Das";"Batsman";"Kolkata"
"Marchant De Lange";"Bowler";"Kolkata"
"Brad Haddin";"Wicketkeeper batsman";"Kolkata"
"Iqbal Abdulla";"Allrounder";"Kolkata"
"Chirag Jani";"Batsman";"Kolkata"
"jacques Kallis";"Allrounder";"Kolkata"
"Brett Lee";"Bowler";"Kolkata"
"Brendon McCullum";"Wicketkeeper batsman";"Kolkata"
"Eoin Morgan";"Middle-order batsman";"Kolkata"
"Sunil Narine";"Bowler";"Kolkata"
"Yusuf Pathan";"Allrounder";"Kolkata"
"James Pattinson";"Bowler";"Kolkata"
"Sanju Samson";"Batsman";"Kolkata"
"Pradeep Sangwan";"Bowler";"Kolkata"
"Iresh Saxena";"Bowler";"Kolkata"
"Shami Ahmed";"Bowler";"Kolkata"
"Shakib Al Hasan";"Allrounder";"Kolkata"
"Laxmi Shukla";"Allrounder";"Kolkata"
"Ryan ten Doeschate";"Allrounder";"Kolkata"
"Manoj Tiwary";"Batsman";"Kolkata"
"Jaydev Unadkat";"Bowler";"Kolkata"
"Kumar Sangakkara";"Wicketkeeper batsman";"Hyderabad"
"Ashish Reddy";"Bowler";"Hyderabad"
"Anand Rajan";"Bowler";"Hyderabad"
"Ankit Sharma";"Bowler";"Hyderabad"
"Tekkami Atchuta Rao";"Bowler";"Hyderabad"
"Akash Bhandari";"Bowler";"Hyderabad"
"Darren Bravo";"Batsman";"Hyderabad"
"Bharat Chipli";"Batsman";"Hyderabad"
"Daniel Christian";"Allrounder";"Hyderabad"
"Kedar Devdhar";"Wicketkeeper";"Hyderabad"
"Shikhar Dhawan";"Top-order batsman";"Hyderabad"
"Jean-Paul Duminy";"Middle-order batsman";"Hyderabad"
"Manpreet Gony";"Bowler";"Hyderabad"
"Daniel Harris";"Batsman";"Hyderabad"
"Ishank Jaggi";"Batsman";"Hyderabad"
"Abhishek Jhunjhunwala";"Batsman";"Hyderabad"
"Chris Lynn";"Batsman";"Hyderabad"
"Amit Mishra";"Bowler";"Hyderabad"
"Tanmay Mishra";"Middle-order batsman";"Hyderabad"
"Parthiv Patel";"Wicketkeeper batsman";"Hyderabad"
"Veer Pratap Singh";"Bowler";"Hyderabad"
"Syed Quadri";"Allrounder";"Hyderabad"
"Dwaraka Ravi Teja";"Batsman";"Hyderabad"
"Akshath Reddy";"Batsman";"Hyderabad"
"Biplab Samantray";"Batsman";"Hyderabad"
"Ishant Sharma";"Bowler";"Hyderabad"
"Sneha Kishore";"Bowler";"Hyderabad"
"Sunny Sohal";"Batsman";"Hyderabad"
"Tanmay Srivastava";"Top-order batsman";"Hyderabad"
"Dale Steyn";"Bowler";"Hyderabad"
"TP Sudhindra";"Bowler";"Hyderabad"
"Rusty Theron";"Bowler";"Hyderabad"
"Cameron White";"Middle-order batsman";"Hyderabad"
"Arjun Yadav";"Batsman";"Hyderabad"
"Sachin Tendulkar";"Top-order batsman";"Mumbai"
"Abu Nechim";"Bowler";"Mumbai"
"Amitoze Singh";"Batsman";"Mumbai"
"Aliden Blizzard";"Batsman";"Mumbai"
"Yuzvendra Chahal";"Bowler";"Mumbai"
"James Franklin";"Allrounder";"Mumbai"
"Herschelle Gibbs";"Batsman";"Mumbai"
"Harbhajan Singh";"Bowler";"Mumbai"
"Davy Jacobs";"Wicketkeeper batsman";"Mumbai"
"Mitchell Johnson";"Bowler";"Mumbai"
"Dinesh Karthik";"Wicketkeeper batsman";"Mumbai"
"Dhawal Kulkarni";"Bowler";"Mumbai"
"Richard Levi";"Batsman";"Mumbai"
"Clint McKay";"Bowler";"Mumbai"
"Lasith Malinga";"Bowler";"Mumbai"
"Sushant Marathe";"Wicketkeeper";"Mumbai"
"Sujit Nayak";"Bowler";"Mumbai"
"Pragyan Ojha";"Bowler";"Mumbai"
"Munaf Patel";"Bowler";"Mumbai"
"Thisara Perera";"Allrounder";"Mumbai"
"Robin Peterson";"Bowler";"Mumbai"
"Kieron Pollard";"Allrounder";"Mumbai"
"Ambati Rayudu";"Wicketkeeper batsman";"Mumbai"
"Jaydev Shah";"Batsman";"Mumbai"
"Rohit Sharma";"Batsman";"Mumbai"
"Rahul Shukla";"Bowler";"Mumbai"
"RP Singh";"Bowler";"Mumbai"
"Tirumalasetti Suman";"Batsman";"Mumbai"
"Pawan Suyal";"Bowler";"Mumbai"
"Aditya Tare";"Wicketkeeper";"Mumbai"
"Apoorv Wankhade";"Batsman";"Mumbai"
"Suryakumar Yadav";"Batsman";"Mumbai"
"MS Dhoni";"Wicketkeeper batsman";"Chennai"
"Srikkanth Anirudha";"Top-order batsman";"Chennai"
"Ravichandran Ashwin";"Bowler";"Chennai"
"Subramaniam Badrinath";"Middle-order batsman";"Chennai"
"George Bailey";"Top-order batsman";"Chennai"
"Doug Bollinger";"Bowler";"Chennai"
"Dwayne Bravo";"Allrounder";"Chennai"
"Faf du Plessis";"Allrounder";"Chennai"
"Ben Hilfenhaus";"Bowler";"Chennai"
"Michael Hussey";"Middle-order batsman";"Chennai"
"Ravindra Jadeja";"Allrounder";"Chennai"
"Shadab Jakati";"Bowler";"Chennai"
"Joginder Sharma";"Allrounder";"Chennai"
"Suraj Randiv";"Bowler";"Chennai"
"Nuwan Kulasekara";"Bowler";"Chennai"
"Yo Mahesh";"Allrounder";"Chennai"
"Albie Morkel";"Allrounder";"Chennai"
"Abhinav Mukund";"Top-order batsman";"Chennai"
"Suresh Raina";"Batsman";"Chennai"
"Wriddhiman Saha";"Wicketkeeper";"Chennai"
"Scott Styris";"Allrounder";"Chennai"
"Sudeep Tyagi";"Bowler";"Chennai"
"Kuthethurshri Vasudevadas";"Batsman";"Chennai"
"Ganapathi Vignesh";"Allrounder";"Chennai"
"Murali Vijay";"Opening batsman";"Chennai"
"Daniel Vettori";"Allrounder";"Bangalore"
"Mayank Agarwal";"Batsman";"Bangalore"
"KP Appanna";"Bowler";"Bangalore"
"Sreenath Aravind";"Bowler";"Bangalore"
"Arun Karthik";"Batsman";"Bangalore"
"Raju Bhatkal";"Allrounder";"Bangalore"
"AB de Villiers";"Wicketkeeper batsman";"Bangalore"
"Tillakaratne Dilshan";"Allrounder";"Bangalore"
"Muralidharen Gautam";"Wicketkeeper";"Bangalore"
"Chris Gayle";"Allrounder";"Bangalore"
"Mohammad Kaif";"Batsman";"Bangalore"
"Abrar Kazi";"Bowler";"Bangalore"
"Zaheer Khan";"Bowler";"Bangalore"
"Virat Kohli";"Middle-order batsman";"Bangalore"
"Charl Langeveldt";"Bowler";"Bangalore"
"Andrew McDonald";"Allrounder";"Bangalore"
"Abhimanyu Mithun";"Bowler";"Bangalore"
"Muttiah Muralitharan";"Bowler";"Bangalore"
"Karun Nair";"Batsman";"Bangalore"
"Dirk Nannes";"Bowler";"Bangalore"
"Ryan Ninan";"Allrounder";"Bangalore"
"Harshal Patel";"Bowler";"Bangalore"
"Asad Pathan";"Bowler";"Bangalore"
"Luke Pomersbach";"Batsman";"Bangalore"
"Cheteshwar Pujara";"Batsman";"Bangalore"
"Rilee Rossouw";"Batsman";"Bangalore"
"Jamaluddin Syed Mohammad";"Bowler";"Bangalore"
"Saurabh Tiwary";"Batsman";"Bangalore"
"Vinay Kumar";"Bowler";"Bangalore"
"Vijay Zol";"Batsman";"Bangalore"
"Rahul Dravid";"Top-order batsman";"Rajasthan"
"Stuart Binny";"Allrounder";"Rajasthan"
"Johan Botha";"Allrounder";"Rajasthan"
"Deepak Chahar";"Bowler";"Rajasthan"
"Dinesh Chandimal";"Wicketkeeper batsman";"Rajasthan"
"Ankeet Chavan";"Batsman";"Rajasthan"
"Aakash Chopra";"Batsman";"Rajasthan"
"Paul Collingwood";"Allrounder";"Rajasthan"
"Kevon Cooper";"Bowler";"Rajasthan"
"Aditya Dole";"Bowler";"Rajasthan"
"Samad Fallah";"Bowler";"Rajasthan"
"Faiz Fazal";"Opening batsman";"Rajasthan"
"Shreevats Goswami";"Wicketkeeper batsman";"Rajasthan"
"Brad Hodge";"Top-order batsman";"Rajasthan"
"Brad Hogg";"Allrounder";"Rajasthan"
"Ashok Menaria";"Allrounder";"Rajasthan"
"Sumit Narwal";"Allrounder";"Rajasthan"
"Pankaj Singh";"Bowler";"Rajasthan"
"Amit Paunikar";"Wicketkeeper batsman";"Rajasthan"
"Ajinkya Rahane";"Top-order batsman";"Rajasthan"
"Abhishek Raut";"Allrounder";"Rajasthan"
"Owais Shah";"Batsman";"Rajasthan"
"Pinal Shah";"Wicketkeeper batsman";"Rajasthan"
"Amit Singh";"Bowler";"Rajasthan"
"Sreesanth";"Bowler";"Rajasthan"
"Shaun Tait";"Bowler";"Rajasthan"
"Siddharth Trivedi";"Bowler";"Rajasthan"
"Shane Watson";"Allrounder";"Rajasthan"
"Dishant Yagnik";"Wicketkeeper";"Rajasthan"
